"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2018-11-13",651,2.99
"Manzana a granel",24512,"2020-08-17",481,2.99
"Manzana a granel",24512,"2019-08-07",455,2.99
"Manzana a granel",24512,"2018-02-28",728,2.99
"Manzana a granel",24512,"2020-02-15",890,2.99
"Manzana a granel",24512,"2019-06-04",520,2.99
"Manzana a granel",24512,"2018-06-27",589,2.99
"Manzana a granel",24512,"2017-08-12",802,2.99
"Manzana a granel",24512,"2018-09-21",611,2.99
"Manzana a granel",24512,"2017-09-19",665,2.99
"Manzana a granel",24512,"2018-04-24",909,2.99
"Manzana a granel",24512,"2019-09-19",753,2.99
"Manzana a granel",24512,"2019-12-24",1197,2.99
"Manzana a granel",24512,"2020-04-11",1090,2.99
"Manzana a granel",24512,"2020-03-10",827,2.99
"Manzana a granel",24512,"2019-08-20",803,2.99
"Manzana a granel",24512,"2019-07-08",577,2.99
"Manzana a granel",24512,"2019-09-24",758,2.99
"Manzana a granel",24512,"2018-10-27",852,2.99
"Manzana a granel",24512,"2020-07-28",337,2.99
"Manzana a granel",24512,"2018-11-06",685,2.99
"Manzana a granel",24512,"2020-03-03",777.38,2.99
"Manzana a granel",24512,"2018-12-20",557,2.99
"Manzana a granel",24512,"2020-06-02",484,2.99
"Manzana a granel",24512,"2019-03-29",524,2.99
"Manzana a granel",24512,"2019-04-17",955,2.99
"Manzana a granel",24512,"2017-11-01",264,2.99
"Manzana a granel",24512,"2018-01-09",730,2.99
"Manzana a granel",24512,"2020-06-06",513,2.99
"Manzana a granel",24512,"2020-03-05",804,2.99
"Manzana a granel",24512,"2019-02-13",577,2.99
"Manzana a granel",24512,"2018-04-09",706,2.99
"Manzana a granel",24512,"2018-11-28",723,2.99
"Manzana a granel",24512,"2018-09-06",727,2.99
"Manzana a granel",24512,"2019-04-16",505,2.99
"Manzana a granel",24512,"2017-12-29",680,2.99
"Manzana a granel",24512,"2020-08-11",372,2.99
"Manzana a granel",24512,"2020-01-27",929,2.99
"Manzana a granel",24512,"2019-11-18",930,2.99
"Manzana a granel",24512,"2019-04-03",586,2.99
"Manzana a granel",24512,"2018-10-09",673,2.99
"Manzana a granel",24512,"2019-01-03",538,2.99
"Manzana a granel",24512,"2019-02-09",625,2.99
"Manzana a granel",24512,"2019-04-25",490,2.99
